"Model","Solver","Nodes","Elements","Total Time","Assembly","Solve","Iterations","Peak RAM","Peak VRAM","Status","Date"
"T-Junction","Multiprocess","393","102","4.79s","2.46s","<0.01s","0","0 MB","-","✓","Jan 7, 08:59 AM"
"T-Junction","Multiprocess","393","102","5.04s","2.60s","<0.01s","0","0 MB","-","✓","Jan 7, 08:59 AM"
"S-Bend","Multiprocess","1 286 039","427 244","1m 18.3s","11.78s","461ms","0","2.13 GB","-","✓","Jan 7, 08:59 AM"
"S-Bend","Multiprocess","1 286 039","427 244","1m 17.3s","11.75s","475ms","0","2.23 GB","-","✓","Jan 7, 08:59 AM"
"S-Bend","Multiprocess","1 286 039","427 244","1m 18.6s","11.90s","463ms","0","2.03 GB","-","✓","Jan 7, 08:59 AM"
"S-Bend","Multiprocess","765 441","254 034","45.20s","10.16s","236ms","0","1.22 GB","-","✓","Jan 7, 08:54 AM"
"S-Bend","Multiprocess","765 441","254 034","44.94s","10.16s","229ms","0","1.21 GB","-","✓","Jan 7, 08:54 AM"
"S-Bend","Multiprocess","765 441","254 034","45.66s","10.08s","246ms","0","1.01 GB","-","✓","Jan 7, 08:54 AM"
"S-Bend","Multiprocess","196 078","64 787","19.63s","8.16s","51ms","0","189 MB","-","✓","Jan 7, 08:51 AM"
"S-Bend","Multiprocess","196 078","64 787","19.85s","8.23s","51ms","0","195 MB","-","✓","Jan 7, 08:51 AM"
"S-Bend","Multiprocess","196 078","64 787","19.87s","8.24s","52ms","0","258 MB","-","✓","Jan 7, 08:51 AM"
"S-Bend","Multiprocess","387","222","3.80s","1.43s","<0.01s","0","0 MB","-","✓","Jan 7, 08:50 AM"
"S-Bend","Multiprocess","387","222","4.08s","1.58s","<0.01s","0","0 MB","-","✓","Jan 7, 08:50 AM"
"S-Bend","Multiprocess","387","222","3.99s","1.57s","<0.01s","0","0 MB","-","✓","Jan 7, 08:50 AM"
"Venturi","Multiprocess","1 284 412","427 017","2m 10.3s","11.90s","477ms","0","2.17 GB","-","✓","Jan 7, 08:49 AM"
"Venturi","Multiprocess","1 284 412","427 017","2m 9.4s","11.98s","478ms","0","2.17 GB","-","✓","Jan 7, 08:49 AM"
"Venturi","Multiprocess","1 284 412","427 017","2m 9.2s","11.88s","485ms","0","2.18 GB","-","✓","Jan 7, 08:49 AM"
"Venturi","Multiprocess","763 707","253 704","1m 8.6s","10.10s","238ms","0","1.17 GB","-","✓","Jan 7, 08:41 AM"
"Venturi","Multiprocess","763 707","253 704","1m 8.0s","10.13s","237ms","0","1.18 GB","-","✓","Jan 7, 08:41 AM"
"Venturi","Multiprocess","763 707","253 704","1m 8.5s","10.22s","258ms","0","1.18 GB","-","✓","Jan 7, 08:41 AM"
"Venturi","Multiprocess","194 325","64 334","22.70s","8.22s","51ms","0","245 MB","-","✓","Jan 7, 08:36 AM"
"Venturi","Multiprocess","194 325","64 334","22.69s","8.27s","51ms","0","247 MB","-","✓","Jan 7, 08:36 AM"
"Venturi","Multiprocess","194 325","64 334","22.56s","8.08s","52ms","0","251 MB","-","✓","Jan 7, 08:36 AM"
"Venturi","Multiprocess","341","86","3.93s","1.62s","<0.01s","0","0 MB","-","✓","Jan 7, 08:35 AM"
"Venturi","Multiprocess","341","86","3.75s","1.43s","<0.01s","0","0 MB","-","✓","Jan 7, 08:35 AM"
"Venturi","Multiprocess","341","86","3.96s","1.52s","<0.01s","0","0 MB","-","✓","Jan 7, 08:35 AM"
"Y-Shaped","Multiprocess","1 357 953","338 544","1m 9.4s","11.12s","545ms","0","1.81 GB","-","✓","Jan 7, 08:34 AM"
"Y-Shaped","Multiprocess","1 357 953","338 544","1m 9.7s","11.31s","536ms","0","1.81 GB","-","✓","Jan 7, 08:34 AM"
"Y-Shaped","Multiprocess","1 357 953","338 544","1m 9.2s","11.13s","527ms","0","1.82 GB","-","✓","Jan 7, 08:34 AM"
"Y-Shaped","Multiprocess","772 069","192 308","41.40s","10.18s","262ms","0","958 MB","-","✓","Jan 7, 08:30 AM"
"Y-Shaped","Multiprocess","772 069","192 308","40.60s","9.68s","231ms","0","1.04 GB","-","✓","Jan 7, 08:30 AM"
"Y-Shaped","Multiprocess","772 069","192 308","40.60s","9.67s","258ms","0","1.05 GB","-","✓","Jan 7, 08:30 AM"
"Y-Shaped","Multiprocess","195 853","48 607","30.28s","3.19s","22.96s","3741","92 MB","-","✓","Jan 6, 06:24 PM"
"Y-Shaped","Multiprocess","195 853","48 607","30.35s","3.48s","23.00s","3741","91 MB","-","✓","Jan 6, 06:24 PM"
"Y-Shaped","Multiprocess","195 853","48 607","31.18s","3.31s","23.60s","3741","92 MB","-","✓","Jan 6, 06:24 PM"
"Y-Shaped","Multiprocess","201","52","836ms","425ms","<0.01s","115","0 MB","-","✓","Jan 6, 06:22 PM"
"Y-Shaped","Multiprocess","201","52","826ms","401ms","<0.01s","115","0 MB","-","✓","Jan 6, 06:22 PM"
"Y-Shaped","Multiprocess","201","52","856ms","432ms","<0.01s","115","0 MB","-","✓","Jan 6, 06:22 PM"
"Elbow 90°","Threaded","1 044 857","346 621","8m 13.2s","1m 11.2s","6m 26.9s","8155","1.70 GB","-","✓","Jan 6, 06:22 PM"
"Elbow 90°","Threaded","1 044 857","346 621","7m 20.5s","33.18s","6m 14.0s","8151","1.70 GB","-","✓","Jan 6, 06:22 PM"
"Elbow 90°","Threaded","1 044 857","346 621","4m 8.8s","33.15s","3m 18.1s","8151","1.59 GB","-","✓","Jan 6, 06:22 PM"
"Elbow 90°","Threaded","623 153","206 435","1m 52.8s","20.00s","1m 22.8s","6229","811 MB","-","✓","Jan 6, 05:58 PM"
